velocity_error_2_5sec,velocity_error_5sec,velocity_error_7_5sec
-0.000317799970593,-3.960746507493396e-05,-0.001040226493626173
0.000237993269884,-0.00024191547468411026,-0.0004283330952256463
-0.0008820426791489998,-0.00020177616743009136,0.00010521835160623091
-0.001041930447937,0.000478379414866753,-0.0001616613930951194
-0.00016177684996,-0.00012153903579376762,-0.0002707569736825448
-0.00216194428561,-0.0006814780991430229,-2.964866583569578e-05
-1.68309813789944e-06,-8.341990597752688e-05,-0.0006152461741287009
-0.00032164418346900003,0.0003545905583709763,-0.0002413542095534918
0.000478485934405,-0.0012044142118840355,-2.8160739439116872e-05
-0.00056153922723,3.546381990858147e-05,-1.682318945470107e-06
-0.000801485847925,7.545578575174697e-05,0.00015832693360319505
-0.000961713253424,-0.0006441158244339731,2.570591418765006e-05
-0.000482973479068,-0.00044186056956109845,-0.000481891456446306
-6.06765923400615e-06,7.944155667212806e-05,-1.6150974096670878e-06
7.29955245707438e-05,-0.00020175153039614024,-2.786540241772953e-05
-0.000481386133829,-1.7181921957813706e-06,-1.5141828176960803e-06
-0.0004818201883369999,-0.0001217237207116369,5.216387036314357e-05
0.000398240362176,-4.138599639753188e-05,0.00034519157199273606
-0.000161718459537,-0.00024081414275440444,-0.000751792772212892
-0.00104200272337,-7.408277505407956e-07,0.00018491511606385028
-0.000242018356649,-1.0867247714312078e-06,-0.0002683307200709688
0.000158350334344,-0.0002817360913295284,-0.0002419185540403386
-0.0008020939832700001,-0.0001218466099126292,7.515374226255145e-05
-0.001441677132686,-0.0006418248068481534,-0.0002719578322554969
0.001037938854325,-8.216213317792724e-05,-0.0004549971339257407
-0.001601665518914,-0.00016656401568574883,0.00010420708319644131
-0.00016198013463199998,0.0003972802451514025,-0.00013786867183657875
-0.000481754946464,-4.171377907572979e-05,-1.4977134865507002e-06
0.00055823838299,-1.6533490931162909e-06,2.5020171066550412e-05
-0.001841975092781,0.0005184656240069078,-0.00034842178776858107
0.00023860535814099995,-0.0004070108089748448,-0.00019027236734321662
-0.0007216632540139999,-0.00024162233171473588,0.00010336719345048137
-0.000320749914424,-1.662490647032916e-06,0.0001849897359034007
-8.963912587478529e-07,-0.00032136966106081563,-0.0003745984910232397
-0.000401375648137,-0.00012173012672571024,-0.0004548606199721167
0.00023787337101,-1.746319179679601e-06,0.00015843249530061998
0.000638650159205,-4.158059475216011e-05,-0.0004816994025624889
-0.002082184163611,-0.00040167531163303946,0.0002121891784655841
-8.15166699729975e-05,-4.165222004923197e-05,2.544982173371263e-05
0.00015813825337200005,7.838503327322471e-05,-0.0002675426152062253
-0.00016176110055,-1.0992692824618455e-06,-5.4425707048059296e-05
-0.000481821217932,-0.0012403992346230186,-2.7841755328168738e-05
-0.000322147833932,0.00011844890818142952,0.00013206558053767067
-0.00032135601032599995,-1.3968605228238673e-06,-0.00018785208833003997
-0.000162047117634,-0.0008804142504789081,-0.00013853311171954305
0.000478540717387,0.0005191784808590319,-8.16910977086624e-05
-0.000801885027632,-0.00020108617176550425,5.273582675158553e-05
-0.000241847044737,-0.0005605356619082964,-5.463683504752792e-05
-0.000321697261712,3.960861163115198e-05,-0.0006680865856032621
-0.000322105720721,-0.00012150781814625547,-0.00024104792622303348
